/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=2708, episodic_return=[18.565178]
global_step=2775, episodic_return=[64.804504]
global_step=2803, episodic_return=[19.396564]
global_step=2831, episodic_return=[30.548983]
global_step=2840, episodic_return=[6.0371704]
global_step=2885, episodic_return=[65.01788]
global_step=2898, episodic_return=[9.12903]
global_step=2913, episodic_return=[13.905805]
global_step=2929, episodic_return=[13.027397]
global_step=2979, episodic_return=[43.758533]
global_step=3034, episodic_return=[77.63846]
global_step=3047, episodic_return=[10.7655325]
global_step=3065, episodic_return=[6.3251114]
global_step=3079, episodic_return=[9.265965]
global_step=3100, episodic_return=[13.634541]
global_step=3116, episodic_return=[12.509376]
global_step=3131, episodic_return=[12.068329]
global_step=3144, episodic_return=[10.899767]
global_step=3174, episodic_return=[37.540413]
global_step=3197, episodic_return=[8.284193]
global_step=3233, episodic_return=[31.746256]
global_step=3251, episodic_return=[12.003909]
global_step=3282, episodic_return=[29.846346]
global_step=3297, episodic_return=[12.018544]
global_step=3308, episodic_return=[6.980605]
global_step=3320, episodic_return=[7.6232524]
global_step=3330, episodic_return=[7.2125564]
global_step=3355, episodic_return=[9.137254]
global_step=3389, episodic_return=[41.17556]
global_step=3410, episodic_return=[15.832323]
global_step=3436, episodic_return=[25.50225]
global_step=3452, episodic_return=[10.409573]
global_step=3484, episodic_return=[18.156382]
global_step=3503, episodic_return=[14.329272]
global_step=3536, episodic_return=[47.6273]
global_step=3566, episodic_return=[18.62559]
global_step=3592, episodic_return=[19.991528]
global_step=3604, episodic_return=[10.2368965]
global_step=3619, episodic_return=[8.058982]
global_step=3630, episodic_return=[9.160836]
global_step=3640, episodic_return=[8.241337]
global_step=3661, episodic_return=[15.224772]
global_step=3676, episodic_return=[11.548958]
global_step=3700, episodic_return=[14.204977]
